decimalLatitude,decimalLongitude,scientificName
37.06976,-3.535114,Ulex parviflorus Pourr.
37.06976,-3.535114,Prunus ramburii Boiss.
37.069738,-3.537892,Pinus halepensis Mill.
37.06976,-3.535114,Brachypodium retusum P.Beauv.
37.06976,-3.535114,Ptilostemon hispanicus (Lam.) Greuter
37.069738,-3.537892,Quercus ilex subsp. ballota (Desf.) Bonafé
37.06976,-3.535114,Festuca elegans Boiss.
37.069738,-3.537892,"Dianthus pungens subsp. brachyanthus (Boiss.) Bernal, Fern.Casas, G.López, M.Laínz & Muñoz Garmendia"
37.069738,-3.537892,Juniperus phoenicea Pall.
37.069738,-3.537892,Pinus pinaster Bess.
37.069738,-3.537892,Rhamnus myrtifolia Willk.
37.069738,-3.537892,Juniperus oxycedrus Hochst.
37.069738,-3.537892,Thymus pulegioides L.
37.069738,-3.537892,Thymelaea tartonraira All.
37.069738,-3.537892,Cistus albidus L.
37.071977,-3.535096,Pinus pinaster Bess.
37.069738,-3.537892,Ulex parviflorus Pourr.
37.071977,-3.535096,Juniperus oxycedrus Hochst.
37.069738,-3.537892,Brachypodium retusum P.Beauv.
37.069738,-3.537892,Lavandula lanata Boiss.
37.118282,-3.01487,Hieracium pilosella subsp. tricholepium Näg. & Peter
37.069738,-3.537892,Rosmarinus officinalis L.
37.102371,-2.831932,Quercus ilex subsp. ballota (Desf.) Bonafé
37.118282,-3.01487,Thymus baeticus Boiss. ex Lacaita
37.071977,-3.535096,Juniperus sabina L.
37.102371,-2.831932,Genista florida L.
37.118282,-3.01487,"Genista cinerea subsp. speciosa Rivas-Goday & T.Losa ex Rivas Mart., T.E.Díaz, Fern.Prieto, Loidi & Penas"
37.102371,-2.831932,Bupleurum spinosum Gouan & Ill.Observ.Bot.
37.118282,-3.01487,Prunus ramburii Boiss.
37.102371,-2.831932,Silene latifolia Poir.
37.102371,-2.831932,Artemisia campestris var. glutinosa (Gay ex Bess.) Y.R.Ling
37.102371,-2.831932,Lactuca tenerrima Pourr.
37.102371,-2.831932,Rumex induratus Boiss. & Reut.
37.102371,-2.831932,Helichrysum italicum var. serotinum (Boiss.) O.de Bolòs & J.Vigo
37.118299,-3.020453,Pinus sylvestris Lour.
37.102371,-2.831932,Thymus mastichina Sibth. & Sm.
37.118299,-3.020453,Genista umbellata Salzm. ex DC.
37.102371,-2.831932,Thymus serpylloides subsp. gadorensis (Pau) Jalas
37.102371,-2.831932,Festuca scariosa Pau
37.118299,-3.020453,Berberis hispanica Boiss. & Reut.
37.102371,-2.831932,Carlina corymbosa L.
37.118299,-3.020453,Mentha longifolia Huds.
37.102371,-2.831932,Festuca indigesta Boiss.
37.118299,-3.020453,Dactylis glomerata L.
37.118299,-3.020453,"Genista cinerea subsp. speciosa Rivas-Goday & T.Losa ex Rivas Mart., T.E.Díaz, Fern.Prieto, Loidi & Penas"
37.102371,-2.831932,Sedum sediforme (Schweinf.) R.-Hamet
37.118299,-3.020453,Hieracium pilosella subsp. tricholepium Näg. & Peter
37.102371,-2.831932,Robinia pseudoacacia L.
37.118299,-3.020453,Corynephorus canescens P.Beauv.
37.140798,-3.116133,Teucrium compactum Clem. ex Lag.
37.11822,-3.121738,Rosa sicula Tratt.
37.140798,-3.116133,Genista versicolor Boiss. ex Steud.
37.102371,-2.831932,Rubus ulmifolius Schott
37.11822,-3.121738,Koeleria vallesiana Asch. & Graebn.
37.140798,-3.116133,Hieracium pilosella subsp. tricholepium Näg. & Peter
37.140798,-3.116133,Erinacea anthyllis Link
37.11822,-3.121738,"Armeria filicaulis subsp. nevadensis Nieto Fel., Rosselló & J.Fuertes"
37.140798,-3.116133,Helianthemum cinereum Pers.
37.11822,-3.121738,Festuca indigesta Boiss.
37.140798,-3.116133,Ptilostemon hispanicus (Lam.) Greuter
37.140798,-3.116133,Festuca indigesta Boiss.
37.140798,-3.116133,Pinus sylvestris Lour.
37.140798,-3.116133,Hormathophylla spinosa (L.) Kupfer
37.140798,-3.116133,Centaurea ornata Willd.
37.109209,-3.127329,Sanguisorba minor Scop.
37.140798,-3.116133,Crataegus monogyna subsp. brevispina (G.Kunze) Franco
37.140798,-3.116133,Berberis hispanica Boiss. & Reut.
37.140798,-3.116133,Sanguisorba minor Scop.
37.140798,-3.116133,Centaurea pulvinata (Blanca) Blanca
37.094693,-3.504333,Quercus ilex subsp. ballota (Desf.) Bonafé
37.109209,-3.127329,Digitalis purpurea L.
37.140798,-3.116133,Paronychia suffruticosa DC.
37.109209,-3.127329,Berberis hispanica Boiss. & Reut.
37.109209,-3.127329,Centaurea ornata Willd.
37.094693,-3.504333,Echinospartum boissieri (Spach) Rothm.
37.094693,-3.504333,Artemisia campestris var. glutinosa (Gay ex Bess.) Y.R.Ling
37.109209,-3.127329,Pinus sylvestris Lour.
37.109209,-3.127329,Urtica dioica L.
37.109209,-3.127329,Crataegus monogyna subsp. brevispina (G.Kunze) Franco
37.094693,-3.504333,Ulex parviflorus Pourr.
37.094693,-3.504333,Avenula bromoides subsp. pauneroi Romero Zarco
37.109209,-3.127329,Rosa sicula Tratt.
37.094693,-3.504333,Thymelaea tartonraira All.
37.099209,-3.504396,Sanguisorba minor Scop.
37.103664,-3.493138,Hormathophylla spinosa (L.) Kupfer
37.094693,-3.504333,Koeleria vallesiana Asch. & Graebn.
37.113683,-3.132987,Pinus sylvestris Lour.
37.094693,-3.504333,Salvia lavandulifolia var. vellerea (Cuatrec.) Rosua & Blanca
37.099209,-3.504396,Echinospartum boissieri (Spach) Rothm.
37.103664,-3.493138,Echinospartum boissieri (Spach) Rothm.
37.094693,-3.504333,Brachypodium retusum P.Beauv.
37.088524,-2.668786,Eryngium campestre L.
37.094693,-3.504333,Thymus serpylloides subsp. gadorensis (Pau) Jalas
37.099209,-3.504396,Thymelaea tartonraira All.
37.103664,-3.493138,Phlomis crinita Cav.
37.094693,-3.504333,Festuca indigesta Boiss.
37.088524,-2.668786,Thymus baeticus Boiss. ex Lacaita
37.094693,-3.504333,Teucrium capitatum L.
37.099209,-3.504396,Teucrium capitatum L.
37.103664,-3.493138,Salvia lavandulifolia var. vellerea (Cuatrec.) Rosua & Blanca
37.094693,-3.504333,Crataegus monogyna subsp. brevispina (G.Kunze) Franco
37.088524,-2.668786,Teucrium capitatum L.
37.099209,-3.504396,Koeleria vallesiana Asch. & Graebn.
37.103664,-3.493138,Thymus mastichina Sibth. & Sm.
37.099209,-3.504396,Pinus nigra Aiton
37.099209,-3.504396,Corynephorus canescens P.Beauv.
37.088524,-2.668786,Helichrysum italicum var. serotinum (Boiss.) O.de Bolòs & J.Vigo
37.103664,-3.493138,Lavandula lanata Boiss.
37.099209,-3.504396,Pinus sylvestris Lour.
37.099209,-3.504396,Crataegus monogyna subsp. brevispina (G.Kunze) Franco
37.088524,-2.668786,Artemisia barrelieri Bess.
37.103664,-3.493138,Carthamus lanatus L.
37.099209,-3.504396,Berberis hispanica Boiss. & Reut.
37.099209,-3.504396,Prunus ramburii Boiss.
37.088524,-2.668786,Artemisia campestris var. glutinosa (Gay ex Bess.) Y.R.Ling
37.088521,-2.674367,Pinus halepensis Mill.
37.099209,-3.504396,Quercus ilex subsp. ballota (Desf.) Bonafé
37.10374,-3.498709,Pinus nigra Aiton
37.088524,-2.668786,Carlina corymbosa L.
37.088521,-2.674367,Quercus coccifera L.
37.10374,-3.498709,Pinus sylvestris Lour.
37.088524,-2.668786,Festuca scariosa Pau
37.088521,-2.674367,Quercus ilex subsp. ballota (Desf.) Bonafé
37.10374,-3.498709,Juniperus communis Thunb.
37.088524,-2.668786,Koeleria vallesiana Asch. & Graebn.
37.088521,-2.674367,Dorycnium pentaphyllum Scop.
37.10374,-3.498709,Berberis hispanica Boiss. & Reut.
37.088524,-2.668786,Sedum sediforme (Schweinf.) R.-Hamet
37.088521,-2.674367,Anthyllis cytisoides L.
37.10374,-3.498709,Quercus ilex subsp. ballota (Desf.) Bonafé
37.068218,-2.683003,Paronychia suffruticosa DC.
37.088521,-2.674367,Coronilla juncea L.
37.10374,-3.498709,Arenaria armerina subsp. armerina
37.088524,-2.668786,Paronychia suffruticosa DC.
37.088521,-2.674367,Bituminaria bituminosa (L.) C.H.Stirt.
37.10374,-3.498709,Echinospartum boissieri (Spach) Rothm.
37.086693,-3.03164,Sanguisorba minor Scop.
37.086287,-2.671642,Pinus halepensis Mill.
37.088521,-2.674367,Thymus baeticus Boiss. ex Lacaita
37.10374,-3.498709,Salvia lavandulifolia var. vellerea (Cuatrec.) Rosua & Blanca
37.086693,-3.03164,Genista versicolor Boiss. ex Steud.
37.086287,-2.671642,Quercus ilex subsp. ballota (Desf.) Bonafé
37.088521,-2.674367,Artemisia barrelieri Bess.
37.10374,-3.498709,Thymus mastichina Sibth. & Sm.
37.086693,-3.03164,Hieracium pilosella subsp. tricholepium Näg. & Peter
37.086287,-2.671642,Cistus albidus L.
37.088521,-2.674367,Festuca scariosa Pau
37.10374,-3.498709,Lavandula lanata Boiss.
37.086693,-3.03164,Festuca indigesta Boiss.
37.086287,-2.671642,Halimium umbellatum subsp. viscosum (Willk.) O.Bolòs & Vigo
37.088521,-2.674367,Dactylis glomerata subsp. hispanica (Roth) Nyman
37.10374,-3.498709,Teucrium capitatum L.
37.086693,-3.03164,Crataegus monogyna subsp. brevispina (G.Kunze) Franco
37.086287,-2.671642,Fumana thymifolia Spach
37.088521,-2.674367,Koeleria vallesiana Asch. & Graebn.
37.073151,-3.037315,Pinus sylvestris Lour.
37.10374,-3.498709,Avenula bromoides subsp. pauneroi Romero Zarco
37.086287,-2.671642,Dorycnium pentaphyllum Scop.
37.088521,-2.674367,Sedum sediforme (Schweinf.) R.-Hamet
37.073151,-3.037315,Genista versicolor Boiss. ex Steud.
37.10374,-3.498709,Festuca indigesta Boiss.
37.086287,-2.671642,Coronilla juncea L.
37.088521,-2.674367,Paronychia suffruticosa DC.
37.073151,-3.037315,Cytisus galianoi Talavera & P.E.Gibbs
37.10374,-3.498709,Amelanchier ovalis Medik.
37.086287,-2.671642,Thymus baeticus Boiss. ex Lacaita
37.099852,-2.691277,Helianthemum almeriense Pau
37.073151,-3.037315,Thymus serpylloides subsp. gadorensis (Pau) Jalas
37.103664,-3.493138,Juniperus communis Thunb.
37.086287,-2.671642,Helichrysum italicum var. serotinum (Boiss.) O.de Bolòs & J.Vigo
37.099852,-2.691277,Capparis spinosa L.
37.073151,-3.037315,Festuca indigesta Boiss.
37.103664,-3.493138,Berberis hispanica Boiss. & Reut.
37.086287,-2.671642,Staehelina dubia L.
37.099852,-2.691277,Dorycnium pentaphyllum Scop.
37.073156,-3.048531,Pinus sylvestris Lour.
37.086287,-2.671642,Koeleria vallesiana Asch. & Graebn.
37.103664,-3.493138,Quercus ilex subsp. ballota (Desf.) Bonafé
37.099852,-2.691277,Anthyllis cytisoides L.
37.073156,-3.048531,Helleborus foetidus L.
37.086287,-2.671642,Melica ciliata L.
37.099852,-2.691277,Coronilla juncea L.
37.073156,-3.048531,Berberis hispanica Boiss. & Reut.
37.086287,-2.671642,Sedum sediforme (Schweinf.) R.-Hamet
37.099852,-2.691277,Eryngium campestre L.
37.068274,-2.694251,Teucrium compactum Clem. ex Lag.
37.086287,-2.671642,Paronychia suffruticosa DC.
37.099852,-2.691277,Helichrysum italicum var. serotinum (Boiss.) O.de Bolòs & J.Vigo
37.068274,-2.694251,Artemisia campestris var. glutinosa (Gay ex Bess.) Y.R.Ling
37.109239,-3.026056,Pinus sylvestris Lour.
37.099852,-2.691277,Artemisia barrelieri Bess.
37.068274,-2.694251,Carlina corymbosa L.
37.109239,-3.026056,Cytisus galianoi Talavera & P.E.Gibbs
37.099852,-2.691277,Artemisia campestris var. glutinosa (Gay ex Bess.) Y.R.Ling
37.068274,-2.694251,Festuca scariosa Pau
37.109239,-3.026056,Hieracium pilosella subsp. tricholepium Näg. & Peter
37.099852,-2.691277,Festuca scariosa Pau
37.068274,-2.694251,Koeleria vallesiana Asch. & Graebn.
37.109239,-3.026056,Festuca indigesta Boiss.
37.099852,-2.691277,Dactylis glomerata subsp. hispanica (Roth) Nyman
37.073237,-2.981044,Berberis hispanica Boiss. & Reut.
37.109282,-3.031717,Pinus sylvestris Lour.
37.099852,-2.691277,Koeleria vallesiana Asch. & Graebn.
37.073237,-2.981044,Hormathophylla spinosa (L.) Kupfer
37.109282,-3.031717,Berberis hispanica Boiss. & Reut.
37.099852,-2.691277,Sedum sediforme (Schweinf.) R.-Hamet
37.073237,-2.981044,Reseda complicata Bory
37.109282,-3.031717,Genista versicolor Boiss. ex Steud.
37.068218,-2.683003,Pinus halepensis Mill.
37.073237,-2.981044,Genista versicolor Boiss. ex Steud.
37.109282,-3.031717,Cytisus galianoi Talavera & P.E.Gibbs
37.068218,-2.683003,Quercus ilex subsp. ballota (Desf.) Bonafé
37.073237,-2.981044,Erinacea anthyllis Link
37.10484,-3.026099,Pinus sylvestris Lour.
37.068218,-2.683003,Cistus albidus L.
37.073237,-2.981044,Cytisus galianoi Talavera & P.E.Gibbs
37.10484,-3.026099,Reseda complicata Bory
37.068218,-2.683003,Anthyllis cytisoides L.
37.073237,-2.981044,Thymus serpylloides subsp. gadorensis (Pau) Jalas
37.10484,-3.026099,Genista versicolor Boiss. ex Steud.
37.068218,-2.683003,Thymus serpylloides subsp. gadorensis (Pau) Jalas
37.073237,-2.981044,Artemisia campestris var. glutinosa (Gay ex Bess.) Y.R.Ling
37.10484,-3.026099,Cytisus galianoi Talavera & P.E.Gibbs
37.068218,-2.683003,Teucrium compactum Clem. ex Lag.
37.073237,-2.981044,Festuca indigesta Boiss.
37.10484,-3.026099,Santolina rosmarinifolia L.
37.068218,-2.683003,Koeleria vallesiana Asch. & Graebn.
37.104499,-2.772988,Pinus pinaster Bess.
37.10484,-3.026099,Hieracium pilosella subsp. tricholepium Näg. & Peter
37.088524,-2.668786,Quercus coccifera L.
37.104499,-2.772988,Quercus ilex subsp. ballota (Desf.) Bonafé
37.10484,-3.026099,Festuca indigesta Boiss.
37.088524,-2.668786,Dorycnium pentaphyllum Scop.
